search;found_place;address;latitude;longitude;facility_label;Notes
TPA Kwala Bingai Langkat;Not Found;Not Found;3.7244409;98.4341835;Not Found;
TPA Marjandi Embong Simalungun;Not Found;Not Found;2.9212944;98.9349406;Not Found;
TPA Sijambur Toba;TPA Kabupaten Toba;Unnamed Road Pintubosi Pintubosi, Toba, Sumatera Utara 22381;2.2817453;99.1826414;Tempat Pembuangan Sampah;
TPA Pintu Bosi Toba;TPA Kabupaten Toba;Unnamed Road Pintubosi Pintubosi, Toba, Sumatera Utara 22381;2.2817453;99.1105436;Tempat Pembuangan Sampah;
TPA SIKOLING-KOLING Pakpak Bharat;TPA SIKOLING KOLING;J7RP+2Q, Sukaramai, Kec. Kerajaan, Kabupaten Pakpak Bharat, Sumatera Utara;2.64;98.2869444;Tempat Pembuangan Sampah;
TPA KLOHI Pakpak Bharat;TPA KLOHI;H8JG+H6, Silima Kuta, Kec. Tinada, Kabupaten Pakpak Bharat, Sumatera Utara;2.5813889;98.3255556;Tempat Pembuangan Sampah;
TPA Humbang Hasundutan Humbang Hasundutan;Not Found;Not Found;2.2638843;98.7978876;Not Found;
TPA Gunung Bungkuak Pesisir Selatan;Not Found;Not Found;-1.3739763;100.7139554;Not Found;
TPA Regional Solok Solok;TPA Regional Solok;6JQM+4XQ, Unnamed Road, Kp. Jawa, Kec. Tj. Harapan, Kota Solok, Sumatera Barat 27311;-0.7621738;100.6349745;Kantor Pemerintah;
TPA Bukik Sangkiang Tanah Datar;TPA BUKIK SANGKIANG;GH4R+HJ2, Rambatan, Kec. Rambatan, Kabupaten Tanah Datar, Sumatera Barat;-0.4936038;100.5915072;Tempat Pembuangan Sampah;
TPST Sei. Jariang Agam;TPS3R Maospati;Jl. Agung, Kleco, Maospati, Kec. Maospati, Kabupaten Magetan, Jawa Timur 63392;-7.5909905;111.4309299;Jasa Pembuangan Sampah;
TPA Gurun Lima Puluh Kota;Not Found;Not Found;0.003857;100.536846;Not Found;
TPA Jujutan Solok Selatan;Taman Pendidikan Al-Quran ( TPA/TPQ ) Babus Salam;G8XQ+957, Buluh Kasok, Sangir Jujuan, Lubuk Malako, Kec. Sangir Jujuan, Kabupaten Solok Selatan, Sumatera Barat 27777;-1.451585;101.337934;Not Found;1
UPTD TPA AIE DINGIN Padang;TPA Aie Dingin;59FM+9J2, Balai Gadang, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586;-0.826605;100.3840103;Pusat Daur Ulang;
TPA Sampah Regional Solok Solok;TPA Regional Solok;6JQM+4XQ, Unnamed Road, Kp. Jawa, Kec. Tj. Harapan, Kota Solok, Sumatera Barat 27311;-0.7621738;100.6349745;Kantor Pemerintah;
TPA Sampah Kayu Gadang Sawahlunto;TPA Kayu Gadang;8QR7+HGC, Santur, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27423;-0.658559;100.7637611;Kantor Perusahaan;
TPA Sei Andok Padang Panjang;Bank Sampah Sungai Andok Padang Panjnag;G9FP+H28, Kp. Manggis, Kec. Padang Panjang Bar., Kota Padang Panjang, Sumatera Barat 27111;-0.4760947;100.3828146;Kantor Perusahaan;
TPA SAMPAH REGIONAL PAYAKUMBUH Bukittinggi;TPA Regional Payakumbuh;PJMJ+R8P, Padang Karambia, Kec. Payakumbuh Sel., Kota Payakumbuh, Sumatera Barat;-0.2654014;100.630827;Kantor Pemerintahan Regional;
TPAS Tungkal Selatan Pariaman;Not Found;Not Found;-0.5646933;100.1266113;Not Found;
TPA SIAK KECIL Bengkalis;Not Found;Not Found;1.1343338;101.9031495;Not Found;
TPA PINGGIR Bengkalis;TPA RANGAU KM.6;744X+X5, Pematang Pudu, Kec. Mandau, Kabupaten Bengkalis, Riau;1.257409;100.5711698;Lokasi daur ulang;
TPA BUKIT BATU Bengkalis;Upt pengelolaan sampah bukit batu;9573+JM4, Sungai Selari, Kec. Bukit Batu, Kabupaten Bengkalis, Riau;1.3640135;102.1542055;Kantor Pemerintah;
TPA MANDAU Bengkalis;TPA RANGAU KM.6;744X+X5, Pematang Pudu, Kec. Mandau, Kabupaten Bengkalis, Riau;1.257409;101.0758542;Lokasi daur ulang;
TPA BANTAN Bengkalis;TPA Bantan Bengkalis,riau;G554+8RM, Bantan Tua, Kec. Bantan, Kabupaten Bengkalis, Riau 28754;1.5083324;102.1570579;Tempat Pembuangan Sampah;
